customer_name,highest_order_value
"Allen Rosenblatt",1488.42
"Russell Applegate",1983.97
"Alejandro Savely",2678.94
"Laura Armstrong",3504.90
"Denny Ordway",375.46
"Dean Katz",1295.78
"Nathan Gelder",540.05
"Mike Vittorini",863.93
"Jack Garza",1799.97
"Bart Pistole",583.80
"Victor Preis",546.06
"Saphhira Shifley",411.98
"Anna Gayman",2396.27
"Luke Foster",2177.58
"Roy Französisch",383.64
"Keith Herrera",1336.83
"Kimberly Carter",390.27
"Caroline Jumper",3999.95
"Philip Brown",464.85
"Michael Paige",1652.94
"Natalie Fritzler",2025.36
"Shirley Daniels",3812.97
"Ken Heidel",1259.93
"Ross Baird",2065.32
"Mike Kennedy",571.44
"Philisse Overcash",1007.98
"Brenda Bowman",1779.90
"Troy Blackwell",754.45
"Raymond Buch",13999.96
"Ed Braxton",1293.49
"Sanjit Chand",9449.95
"Tanja Norvell",1272.63
"Joni Sundaresam",254.74
"Maya Herman",730.20
"Jeremy Pistek",1089.75
"Jeremy Ellison",772.47
"John Grady",704.25
"Xylona Preis",337.09
"Erin Mull",159.98
"Michelle Tran",514.17
"Sue Ann Reed",2735.95
"Carl Weiss",592.74
"Astrea Jones",449.15
"Sonia Sunley",199.99
"Rose O'Brian",1598.06
"Maribeth Dona",1080.10
"Maribeth Yedwab",801.57
"Christopher Martinez",6354.95
"Lynn Smith",279.96
"Bradley Nguyen",454.90
"Dean Braden",887.27
"Matt Connell",674.06
"Brian Dahlen",1325.85
"Patricia Hirasaki",683.95
"Mike Gockenbach",1115.91
"Karen Bern",1287.45
"Jasper Cacioppo",47.94
"Rob Lucas",1362.90
"Allen Armold",499.98
"Emily Phan",956.66
"Darren Koutras",646.20
"Bradley Drucker",2939.93
"Liz MacKendrick",646.78
"Adrian Shami",41.28
"Bill Donatelli",2567.84
"Greg Tran",4007.84
"Ashley Jarboe",638.73
"Olvera Toch",1369.76
"Liz Pelletier",451.15
"Cynthia Arntzen",1228.47
"Jeremy Farry",291.17
"Frank Preis",1317.49
"Ellis Ballard",3393.68
"Jennifer Ferguson",1471.96
"Sarah Foster",2665.62
"Trudy Glocke",1125.49
"Carlos Soltero",585.55
"Charles Crestani",1919.98
"Dianna Vittorini",899.95
"Bruce Degenhardt",675.06
"Zuschuss Carroll",1516.20
"Melanie Seite",239.37
"Lena Radford",1199.98
"Theone Pippenger",1586.69
"Chloris Kastensmidt",1039.99
"Alan Shonely",142.78
"Andrew Roberts",89.97
"Nona Balk",383.44
"Giulietta Dortch",1099.50
"Clytie Kelty",431.16
"Nat Gilpin",579.51
"Christina Anderson",912.75
"Sylvia Foulston",1403.92
"Meg O'Connel",723.92
"Annie Thurman",2625.12
"Fred McMath",389.97
"Denny Joy",1454.90
"Max Engle",701.96
"Justin Deggeller",2504.74
"John Lee",2624.99
"Sean Christensen",2803.92
"Chuck Clark",518.27
"Anthony Rawles",1626.19
"Steven Roelle",3404.50
"Craig Reiter",904.90
"Eugene Hildebrand",748.75
"Sibella Parks",459.95
"Tiffany House",381.58
"Resi Pölking",2807.84
"Rob Beeghly",198.74
"Carol Darley",318.96
"Doug Jacobs",1704.56
"Grant Thornton",7999.98
"Michael Chen",1669.60
"Ralph Arnett",1199.96
"Naresj Patel",1217.57
"Alan Barnes",304.23
"Jesus Ocampo",453.58
"Jay Kimmel",573.17
"Brad Norvell",166.84
"David Philippe",883.92
"Tracy Hopkins",1633.19
"Arthur Prichep",842.94
"Roland Schwarz",1261.33
"Seth Vernon",2888.13
"Christine Kargatis",1139.92
"Ross DeVincentis",419.40
"Mathew Reese",347.97
"Steve Chapman",714.30
"Jay Fein",842.35
"Emily Grady",542.65
"Darrin Sayre",242.94
"Phillina Ober",344.37
"Sung Shariari",290.35
"Peter Bühler",604.66
"Roland Fjeld",519.96
"Yoseph Carroll",2934.33
"Debra Catini",447.94
"Christine Phan",1579.75
"Lisa Hazard",107.98
"Chris Selesnick",646.74
"Anthony Johnson",1194.17
"Benjamin Venier",643.14
"Dan Lawera",483.14
"Bryan Mills",475.94
"Liz Thompson",881.93
"Joe Kamberova",1363.96
"Erica Smith",2357.49
"Rick Hansen",2309.65
"Carlos Daly",1259.97
"Helen Wasserman",2405.20
"Mike Caudle",902.71
"Gary McGarr",1325.76
"Pauline Johnson",1399.93
"Bart Watters",3059.98
"Toby Ritter",278.40
"Patrick Gardner",595.00
"James Lanier",842.38
"Brian Moss",1633.14
"Eudokia Martin",494.97
"Art Foster",349.97
"Cyma Kinney",652.45
"Dave Poirier",968.74
"Berenike Kampe",214.95
"Sanjit Jacobs",1415.76
"Chuck Magee",56.69
"Anthony Jacobs",1737.18
"Linda Southworth",854.35
"Guy Phonely",104.90
"Paul Knutson",1141.47
"Sally Matthias",106.34
"Guy Armstrong",205.67
"Peter McVee",2249.91
"Lauren Leatherbury",1196.86
"Jill Stevenson",783.96
"Ed Ludwig",86.62
"Pamela Coakley",1573.49
"Hunter Lopez",10499.97
"Maribeth Schnelling",3406.66
"George Bell",241.92
"Justin Ritter",717.12
"Bill Eplett",1928.78
"Sample Company A",1856.19
"Rob Williams",1114.27
"Sanjit Engle",8749.95
"Adam Hart",841.57
"Jessica Myrick",799.56
"Joel Jenkins",119.96
"Catherine Glotzbach",447.70
"Rachel Payne",369.20
"Katherine Hughes",1207.84
"Greg Hansen",78.85
"Scott Williamson",881.93
"Joseph Airdo",4663.74
"Daniel Lacy",1299.99
"Lindsay Williams",1685.88
"Thomas Brumley",767.21
"Bryan Spruell",501.81
"Robert Waldorf",1924.16
"Tracy Zic",603.92
"Ann Steele",336.51
"Toby Swindell",454.86
"Sara Luxemburg",1439.92
"Mitch Willingham",2715.93
"Rob Dowd",1049.93
"Ryan Akin",505.18
"Meg Tillman",2430.08
"John Stevenson",1618.37
"Kalyca Meade",601.65
"Hallie Redmond",687.40
"Deanra Eno",1408.10
"Allen Goldenen",71.28
"Jennifer Jackson",307.98
"Jennifer Halladay",120.00
"Robert Dilbeck",1577.94
"Mary O'Rourke",722.35
"Noel Staavos",458.43
"Deirdre Greer",1979.89
"Nicole Fjeld",915.14
"Matthew Grinstein",1091.17
"Theresa Swint",422.06
"Brian DeCherney",333.09
"Charles McCrossin",2003.52
"Skye Norling",762.59
"Erica Hernandez",398.35
"Frank Olsen",1441.30
"Maurice Satty",491.55
"Chad Cunningham",627.17
"Don Weiss",119.96
"Bill Tyler",1106.91
"Craig Yedwab",895.94
"Brad Thomas",355.96
"Penelope Sewall",3359.95
"Paul Van Hugh",1575.14
"Dionis Lloyd",1801.63
"Christine Sundaresam",619.95
"Frank Hawley",931.18
"Nat Carroll",704.76
"Alex Avila",3930.07
"Larry Tron",201.58
"Anne Pryor",437.47
"Paul MacIntyre",1056.86
"Alyssa Tate",896.33
"Cathy Armstrong",513.02
"Harold Ryan",2399.96
"Bradley Talbott",892.22
"Larry Hughes",271.96
"Steven Ward",579.14
"Stefania Perrino",1931.96
"Ben Ferrer",1270.99
"Kean Thornton",1799.97
"Brooke Gillingham",845.49
"Greg Matthias",1432.00
"Eva Jacobs",901.95
"Nora Preis",3610.85
"Mick Hernandez",1169.69
"Jocasta Rupert",863.88
"Suzanne McNair",1801.63
"Chris Cortes",637.90
"Phillip Flathmann",1101.48
"Dan Campbell",1614.58
"Bryan Davis",240.78
"Karen Carlisle",1319.96
"Gene McClure",629.93
"Todd Boyes",302.94
"Justin Hirsh",845.73
"Erica Bern",959.97
"Quincy Jones",4404.90
"Tracy Collins",389.97
"Chuck Sachs",287.97
"Henry Goldwyn",1889.99
"Laurel Workman",575.92
"Matt Collins",285.55
"Liz Preis",2003.17
"Evan Bailliet",807.75
"George Zrebassa",1649.95
"Cathy Prescott",4164.05
"Frank Gastineau",447.86
"Lisa DeCherney",1395.54
"Alejandro Ballentine",479.98
"Michael Nguyen",979.95
"Jim Radford",590.06
"Jamie Frazer",415.18
"Chad McGuire",677.58
"Aaron Smayling",1439.98
"Beth Paige",638.29
"Natalie DeCherney",1931.04
"Larry Blacks",26.72
"Kean Takahito",966.70
"Harry Marie",4899.93
"Ann Blume",899.14
"Sam Zeldin",637.44
"Michael Granlund",156.79
"Julie Kriz",900.08
"Paul Prost",2348.82
"Yana Sorensen",2793.53
"Katherine Murray",1687.80
"Adrian Barton",9892.74
"Helen Abelman",579.14
"Beth Thompson",1487.04
"Stuart Van",946.34
"Rick Wilson",2518.29
"Damala Kotsonis",872.94
"Shui Tom",139.44
"Michael Moore",1652.94
"Pauline Webber",1287.45
"Shaun Chance",1158.12
"Thais Sissman",2.81
"Mark Cousins",3040.00
"Maria Etezadi",3023.93
"Nicole Hansen",1245.86
"Mick Brown",627.17
"Keith Dawkins",4643.80
"Katherine Nockton",598.46
"Neoma Murray",1649.95
"Nora Pelletier",999.98
"Cindy Stewart",4499.99
"Maxwell Schwartz",837.60
"Corinna Mitchell",2279.96
Corey-Lock,558.40
"Todd Sumrall",5199.96
"Jane Waco",5083.96
"John Dryer",1801.63
"Pauline Chand",1004.98
"Andy Reiter",5443.96
"Arianne Irving",1679.96
"Tom Boeckenhauer",6999.96
"Paul Lucas",83.98
"Gary Hwang",3266.38
"Mike Pelletier",1117.92
"Jim Mitchum",383.95
"Carl Ludwig",782.94
"Deborah Brumfield",2079.40
"Ivan Gibson",370.14
"Bobby Odegard",124.75
"Aimee Bixby",479.97
"Julia West",962.08
"Sheri Gordon",1044.63
"Charlotte Melton",607.52
"Anthony Witt",310.88
"Mick Crebagga",763.28
"Tonja Turnell",1879.96
"Vivek Grady",331.54
"Muhammed Yedwab",1049.97
"Rick Duston",1676.88
"Dennis Pardue",4535.98
"Marina Lichtenstein",479.97
"Jenna Caffey",786.48
"James Galang",1265.85
"Marc Crier",975.92
"Natalie Webber",2799.94
"Toby Braunhardt",1287.45
"Bill Stewart",906.68
"Hilary Holden",109.92
"Christina DeMoss",169.68
"Thea Hendricks",1502.38
"Michelle Moray",765.63
"Neola Schneider",887.27
"Robert Barroso",58.58
"Shaun Weien",1217.57
"Eric Barreto",526.34
"Pamela Stobb",399.54
"Herbert Flentye",556.67
"Henia Zydlo",723.92
"Cynthia Delaney",868.59
"Jamie Kunitz",1871.88
"Filia McAdams",1048.35
"Emily Ducich",2621.32
"Dianna Arnett",40.08
"Joni Wasserman",304.45
"Raymond Messe",542.94
"Max Ludwig",663.94
"Craig Carroll",991.20
"Jim Epp",2999.95
"Roy Phan",699.98
"Thomas Boland",2249.91
"Brad Eason",848.54
"Jill Fjeld",1599.92
"Phillip Breyer",69.93
"Brian Thompson",998.85
"Janet Lee",751.98
"Cathy Hwang",1127.98
"Neil Ducich",1347.52
"Barbara Fisher",314.55
"Katharine Harms",833.94
"Giulietta Weimer",631.18
"Ralph Kennedy",831.20
"Noah Childs",727.45
"Michelle Ellison",801.57
"Benjamin Patterson",1022.97
"John Castell",705.54
"Adam Shillingsburg",1024.38
"Amy Cox",1793.98
"Michael Dominguez",909.12
"Duane Benoit",594.82
"Erica Hackney",328.00
"Edward Hooks",4912.59
"Scot Coram",2887.06
"Joe Elijah",2563.06
"Ann Chong",1282.41
"Joy Daniels",132.60
"Christy Brittain",1439.98
"Joy Smith",600.56
"Luke Weiss",3785.29
"Stuart Calhoun",159.98
"Anne McFarland",1604.90
"Rick Huthwaite",3357.60
"Carol Triggs",872.32
"Matt Collister",1218.74
"Corey Catlett",1202.94
"Kelly Andreada",321.57
"Tamara Chand",17499.95
"Bart Folk",94.85
"Magdelene Morse",631.78
"Adrian Hane",377.45
"Ben Wallace",806.34
"Brian Stugart",1297.37
"Randy Ferguson",1263.30
"William Brown",895.92
"Trudy Brown",1079.32
"Art Ferguson",662.84
"Richard Bierner",735.98
"Karen Ferguson",4158.91
"John Huston",228.92
"Ivan Liston",1454.49
"Patrick Bzostek",199.90
"Rob Haberlin",435.50
"Arthur Wiediger",1117.92
"Maris LaWare",832.93
"Dorothy Badders",942.78
"Matt Hagelstein",1145.60
"Dennis Kane",965.85
"Bobby Trafton",353.57
"Denny Blanton",526.45
"Toby Gnade",1016.79
"Barry Franz",659.98
"Justin MacKendrick",826.00
"Maria Zettner",371.97
"Mitch Webber",1349.91
"Mark Van Huff",415.87
"Sean Miller",22638.48
"Tom Prescott",4416.17
"Jim Karlsson",843.90
"Patrick Jones",826.11
"Ricardo Sperren",1133.35
"Susan Vittorini",552.00
"Becky Castell",681.41
"Elizabeth Moffitt",492.77
"Brendan Murry",231.98
"Kristina Nunn",1137.75
"Kelly Williams",106.50
"Scott Cohen",1552.83
"Barry Französisch",1035.80
"Christina VanderZanden",1184.72
"Speros Goranitis",1619.91
"Tamara Manning",1406.86
"Eleni McCrary",1348.70
"Michelle Lonsdale",595.00
"Clay Rozendal",1673.18
"Annie Zypern",557.73
"Pierre Wener",2541.98
"Shahid Collister",1781.68
"Carlos Meador",451.14
"Greg Maxwell",4164.05
"Tim Brockman",631.96
"John Murray",4548.81
"Sonia Cooley",647.84
"Luke Schmidt",605.34
"Ralph Ritter",520.46
"Daniel Byrd",915.14
"Thomas Thornton",537.54
"Lori Olson",247.44
"Ken Dana",717.72
"Nicole Brennan",143.95
"Brian Derr",232.40
"Chris McAfee",1399.94
"Edward Nazzal",1349.85
"Kean Nguyen",1075.09
"Bill Overfelt",1592.85
"Aleksandra Gannaway",230.28
"Matthew Clasen",449.15
"Tom Ashbrook",11199.97
"Jason Fortune-",220.96
"Tim Taslimi",323.10
"Sarah Bern",858.24
"Craig Leslie",1325.76
"Hunter Glantz",1999.96
"Nancy Lomonaco",590.35
"Rick Reed",1325.85
"Toby Carlisle",1628.82
"Stewart Visinsky",844.12
"Bobby Elias",1649.75
"Steve Carroll",821.94
"David Flashing",1439.97
"Fred Harton",799.96
"Edward Becker",1522.64
"MaryBeth Skach",301.96
"Ritsa Hightower",704.76
"George Ashbrook",1447.65
"Julie Prescott",481.32
"Dean percer",2321.90
"Michael Oakman",50.12
"Denise Leinenbach",393.54
"Michelle Huthwaite",1504.52
"Daniel Raglin",5399.91
"Darrin Martin",2799.96
"Carol Adams",1999.96
"Anna Chung",201.58
"Denise Monton",2690.97
"Christopher Conant",8399.98
"Beth Fritzler",361.38
"Harry Greene",314.35
"Becky Pak",989.97
"Eugene Moren",1499.95
"Michelle Arnett",1603.14
"Andy Yotov",97.18
"Giulietta Baptist",1690.04
"Julia Barnett",1267.65
"Michael Grace",796.43
"Sharelle Roach",2549.99
"Joy Bell-",327.73
"Dario Medina",795.41
"Tony Chapman",411.80
"Sean Wendt",517.90
"Richard Eichhorn",239.90
"Benjamin Farhat",692.94
"Katrina Bavinger",419.40
"Jason Gross",695.16
"Erin Creighton",249.95
"Eugene Barchas",1199.98
"Jennifer Patt",1040.80
"Cari Sayre",963.14
"Gary Hansen",1001.58
"Pete Takahito",93.46
"Jack Lebron",934.96
"Aaron Hawkins",668.16
"Vivek Gonzalez",211.17
"Cindy Chapman",686.40
"David Wiener",318.43
"Sarah Jordon",317.06
"Bruce Geld",486.37
"Laurel Beltran",1112.94
"Candace McMahon",572.58
"Evan Henry",588.78
"Tony Sayre",662.88
"Patrick Ryan",568.73
"Liz Carlisle",866.40
"Cindy Schnelling",562.29
"Dave Hallsten",1087.94
"Jack O'Briant",1565.88
"Anna Häberlin",2275.50
"Heather Jas",163.88
"Mark Hamilton",1424.90
"Russell D'Ascenzo",623.96
"Sam Craven",577.58
"Stephanie Ulpright",959.98
"Fred Chung",1640.70
"Randy Bradley",657.93
"Nick Crebassa",4799.98
"Darren Budd",866.65
"Vicky Freymann",634.12
"Maureen Fritzler",551.99
"Roland Murray",71.97
"Vivian Mathis",129.98
"Ed Jacobs",1049.44
"Nathan Cano",1525.19
"Lycoris Saunders",197.37
"Katrina Edelman",599.90
"Duane Huffman",411.33
"Peter Fuller",4228.70
"Valerie Takahito",563.81
"Maureen Gnade",835.17
"Susan Pistek",1537.07
"Charles Sheldon",285.48
"Dana Kaydos",860.93
"Khloe Miller",196.78
"Anna Andreadi",1323.90
"Dorothy Dickinson",79.98
"Scot Wooten",239.36
"Amy Hunt",1352.40
"Tracy Poddar",650.35
"Eileen Kiefer",1198.33
"Cyra Reiten",438.34
"Susan Gilcrest",19.65
"Angele Hood",383.96
"Neil Französisch",269.98
"Bill Shonely",9099.93
"Stefanie Holloman",1403.92
"Roger Demir",268.70
"Alex Grayson",182.55
"Georgia Rosenberg",1025.88
"Vivek Sundaresam",602.65
"Tony Molinari",543.92
"Anthony Garverick",113.10
"Tom Stivers",1367.84
"Dennis Bolton",434.65
"Nick Radford",503.96
"Cari Schnelling",479.98
"Monica Federle",494.97
"Liz Willingham",756.80
"Alex Russell",523.76
"Karen Seio",48.78
"Aaron Bergman",341.96
"Lisa Ryan",791.96
"Shahid Shariari",1252.70
"Jill Matthias",105.55
"Jason Klamczynski",267.96
"Don Miller",772.68
"Muhammed Lee",79.98
"Marc Harrigan",776.85
"Frank Carlisle",1927.59
"Thea Hudgings",1554.94
"Juliana Krohn",2479.96
"Sarah Brown",2973.32
"Barry Gonzalez",1369.76
"Barry Weirich",46.15
"Mitch Gastineau",12.32
"Doug O'Connell",302.94
"Barry Pond",563.40
"Trudy Schmidt",913.43
"Evan Minnotte",298.12
"Anthony O'Donnell",161.28
"Mark Haberlin",241.50
"Shirley Schmidt",279.86
"Lela Donovan",5.30
"Victoria Pisteka",1875.26
"Theresa Coyne",512.96
"Ionia McGrath",2799.96
"Anemone Ratner",51.75
"Craig Molinari",1228.00
"Fred Wasserman",43.60
"Lindsay Castell",2676.67
"Harold Engle",174.95
"Brendan Dodson",151.96
"Harold Dahlen",104.58
"Carl Jackson",16.52
"Roy Skaria",9.65
"Sung Chung",237.10
"Ricardo Emerson",48.36
"Susan MacKendrick",431.98
