customer_name,total_sales,rank_no
"Rick Bensley",4556.57,136
"Anthony Rawles",4523.33,137
"Arthur Gainer",4510.79,138
"Stewart Carmichael",4492.68,139
"Kelly Lampkin",4483.77,140
"Linda Cazamias",4481.16,141
"Anna Andreadi",4455.90,142
"Theone Pippenger",4454.06,143
"Eugene Moren",4438.33,144
"Mark Cousins",4432.14,145
"Katrina Willman",4416.52,146
"Bradley Drucker",4408.30,147
"Anthony Johnson",4391.49,148
"Arianne Irving",4375.79,149
"Scot Coram",4371.96,150
"Gary Zandusky",4355.15,151
"Steven Roelle",4345.88,152
"Ellis Ballard",4344.51,153
"Natalie DeCherney",4281.39,154
"Matt Abelman",4280.62,155
"Jamie Kunitz",4278.17,156
"Dave Brooks",4265.30,157
"Toby Carlisle",4261.85,158
"Alan Schoenberger",4249.00,159
"Tracy Hopkins",4229.56,160
"Bill Eplett",4204.68,161
"Jill Fjeld",4198.32,162
"Frank Hawley",4190.71,163
"Muhammed Yedwab",4134.40,164
"Dean Katz",4125.84,165
"Claudia Bergmann",4123.52,166
"Peter McVee",4115.66,167
"Stewart Visinsky",4105.32,168
"Denise Monton",4074.47,169
"Frank Preis",4046.75,170
"Sung Pak",4028.57,171
"Susan Pistek",3990.67,172
"Craig Molinari",3984.45,173
"Michael Paige",3983.65,174
"Sean Christensen",3971.06,175
"Dana Kaydos",3943.02,176
"Luke Foster",3930.52,177
"Gary Hwang",3925.74,178
"George Ashbrook",3919.77,179
"Ken Heidel",3918.96,180
"Dorothy Badders",3908.80,181
"Kelly Collister",3908.27,182
"Chris Cortes",3902.53,183
"Nora Paige",3896.64,184
"Pierre Wener",3878.31,185
"John Stevenson",3868.01,186
"Fred Chung",3865.84,187
"Ruben Ausman",3832.32,188
"Roland Schwarz",3831.93,189
"Annie Thurman",3831.87,190
"Olvera Toch",3818.62,191
"Rose O'Brian",3815.47,192
"Michael Chen",3805.71,193
"Michael Moore",3794.07,194
"Carol Adams",3789.72,195
"Matthew Grinstein",3785.28,196
"Sanjit Jacobs",3777.88,197
"Maribeth Dona",3766.40,198
"Jim Karlsson",3760.03,199
"Juliana Krohn",3747.66,200
"Rick Duston",3743.04,201
"Frank Merwin",3736.20,202
"Scott Cohen",3729.80,203
"Hunter Glantz",3690.28,204
"Liz Preis",3653.40,205
"Christopher Schild",3651.86,206
"Rick Hansen",3621.38,207
"Ben Peterman",3610.29,208
"Sam Zeldin",3592.44,209
"Gary McGarr",3582.82,210
"Thomas Boland",3579.02,211
"Jeremy Pistek",3572.94,212
"Dionis Lloyd",3539.32,213
"Erica Smith",3510.46,214
"Robert Waldorf",3495.64,215
"Anna Gayman",3489.06,216
"Emily Ducich",3484.91,217
"Pauline Webber",3454.91,218
"Ed Braxton",3448.27,219
"Sarah Foster",3422.78,220
"Frank Carlisle",3414.68,221
"Sandra Glassco",3406.58,222
"Bill Stewart",3379.12,223
"Trudy Schmidt",3368.08,224
"Sam Craven",3362.96,225
"Doug Jacobs",3356.40,226
"Dan Campbell",3336.17,227
"Arthur Prichep",3323.55,228
"Dennis Kane",3318.49,229
"Katharine Harms",3312.87,230
"Randy Ferguson",3309.14,231
"Sylvia Foulston",3306.87,232
"Rick Reed",3302.26,233
"Brian Dahlen",3288.48,234
"Brian Stugart",3288.12,235
"Dianna Vittorini",3285.98,236
"Rob Williams",3273.65,237
"Daniel Lacy",3272.20,238
"Adam Shillingsburg",3255.30,239
"Jack O'Briant",3254.95,240
"Damala Kotsonis",3253.53,241
"Adam Hart",3250.35,242
"Lindsay Castell",3246.63,243
"Carol Triggs",3241.90,244
"Sharelle Roach",3233.48,245
"Lindsay Williams",3230.30,246
"Ricardo Sperren",3221.29,247
"Alejandro Savely",3212.28,248
"Mark Packer",3206.12,249
"Christine Sundaresam",3202.16,250
"Brian Thompson",3196.75,251
"Deirdre Greer",3195.82,252
"Victoria Pisteka",3193.62,253
"Henry Goldwyn",3184.18,254
"Edward Becker",3166.89,255
"Greg Matthias",3163.63,256
"Chloris Kastensmidt",3154.83,257
"Karen Bern",3152.61,258
"Janet Martin",3145.36,259
"Jeremy Lonsdale",3142.74,260
"Maxwell Schwartz",3138.57,261
"Ruben Dartt",3133.92,262
"Tanja Norvell",3130.23,263
"Steve Nguyen",3127.97,264
"Speros Goranitis",3116.98,265
"Katherine Hughes",3100.60,266
"Patrick Gardner",3086.90,267
"Gary Mitchum",3078.63,268
"Eugene Barchas",3071.14,269
"Toby Gnade",3058.38,270
"Kean Takahito",3057.10,271
"Shahid Shariari",3056.81,272
"Sara Luxemburg",3053.01,273
"Cynthia Arntzen",3041.58,274
"Aaron Smayling",3035.03,275
"Carlos Soltero",3027.74,276
"Eugene Hildebrand",3013.14,277
"Lindsay Shagiari",2988.65,278
"Michelle Huthwaite",2984.95,279
"Frank Atkinson",2984.05,280
"Noel Staavos",2964.82,281
"Tamara Manning",2953.99,282
"Thea Hudgings",2942.78,283
"Christine Kargatis",2939.60,284
"Liz Thompson",2936.26,285
"Becky Castell",2933.67,286
"Julie Kriz",2932.49,287
"David Bremer",2931.71,288
"Shaun Weien",2921.54,289
"Maris LaWare",2921.51,290
"Rob Dowd",2912.90,291
"Craig Yedwab",2900.02,292
"Neil Ducich",2893.46,293
"Mike Gockenbach",2890.59,294
"Meg Tillman",2890.14,295
"David Smith",2881.80,296
"Paul Van Hugh",2876.05,297
"Chuck Clark",2870.05,298
"Barry Französisch",2865.78,299
"Craig Carroll",2854.12,300
"Arthur Wiediger",2851.43,301
"Ionia McGrath",2848.36,302
"Linda Southworth",2845.27,303
"Darren Budd",2839.23,304
"Justin MacKendrick",2833.92,305
"Christina VanderZanden",2830.63,306
"Gary Hansen",2807.70,307
"Troy Staebel",2801.88,308
"Barry Gonzalez",2798.96,309
"Trudy Brown",2797.68,310
"Robert Dilbeck",2786.63,311
"Sally Hughsby",2774.26,312
"John Castell",2772.06,313
"Philip Fox",2770.00,314
"Emily Burns",2767.22,315
"Michelle Moray",2749.87,316
"Ken Black",2742.76,317
"Lauren Leatherbury",2741.20,318
"John Lucas",2725.25,319
"Marc Crier",2723.03,320
"Marina Lichtenstein",2722.84,321
"Jay Kimmel",2709.62,322
"Justin Ellison",2697.25,323
"Chris Selesnick",2696.80,324
"Bradley Talbott",2684.50,325
"Nicole Hansen",2673.29,326
"Richard Bierner",2663.07,327
"Erin Ashbrook",2660.83,328
"Eva Jacobs",2656.69,329
"Dave Kipp",2650.55,330
"Christina Anderson",2648.29,331
"Frank Olsen",2622.83,332
"Katherine Nockton",2617.29,333
"Ralph Arnett",2606.07,334
"Logan Currie",2605.10,335
"Sean O'Donnell",2602.58,336
"Stephanie Ulpright",2595.38,337
"Bill Overfelt",2586.08,338
"Helen Andreada",2584.17,339
"Steve Chapman",2576.40,340
"Neola Schneider",2575.87,341
"Beth Thompson",2567.66,342
"Eleni McCrary",2567.00,343
"Alejandro Grove",2565.26,344
"Mary Zewe",2564.89,345
"Corey Catlett",2540.63,346
"Charles McCrossin",2533.32,347
"Herbert Flentye",2533.16,348
"Lena Cacioppo",2526.19,349
"Fred McMath",2523.26,350
"Joy Smith",2516.49,351
"Don Jones",2501.69,352
"Ann Chong",2499.76,353
"Patrick O'Donnell",2493.22,354
"Bruce Stewart",2492.35,355
"Nick Zandusky",2488.33,356
"Charles Crestani",2471.65,357
"Michael Nguyen",2469.04,358
"Nat Carroll",2461.41,359
"Mark Hamilton",2456.18,360
"Brendan Sweed",2454.93,361
"Valerie Mitchum",2454.87,362
"George Zrebassa",2454.62,363
"Michelle Arnett",2453.29,364
"Thea Hendricks",2422.83,365
"Amy Hunt",2406.44,366
"Bart Pistole",2399.55,367
"David Flashing",2390.54,368
"Beth Paige",2383.80,369
"Marc Harrigan",2381.73,370
"Filia McAdams",2374.27,371
"Clytie Kelty",2372.75,372
"Jennifer Ferguson",2371.45,373
"Cynthia Voltz",2370.33,374
"Matt Collister",2362.51,375
"Jack Garza",2358.66,376
"Craig Leslie",2353.59,377
"Maureen Gastineau",2350.20,378
"Roland Fjeld",2341.30,379
"Andrew Gjertsen",2338.68,380
"Elizabeth Moffitt",2324.36,381
"Xylona Preis",2320.41,382
"Michael Kennedy",2302.36,383
"Lena Hernandez",2295.32,384
"Chris McAfee",2287.17,385
"Jamie Frazer",2279.59,386
"Fred Harton",2271.29,387
"Craig Carreira",2269.69,388
"Bobby Elias",2261.44,389
"Matt Connell",2258.20,390
"Justin Hirsh",2256.39,391
"Ken Dana",2243.51,392
"Tony Sayre",2243.28,393
"Maribeth Yedwab",2242.62,394
"Laurel Workman",2238.06,395
"Allen Rosenblatt",2236.12,396
"Mick Crebagga",2218.99,397
"Nathan Cano",2218.99,397
"Greg Guthrie",2216.00,399
"Phillip Flathmann",2206.12,400
"Dean Braden",2204.82,401
"Maya Herman",2203.78,402
"Janet Lee",2203.70,403
"Justin Ritter",2201.69,404
"Toby Braunhardt",2198.46,405
"Jason Gross",2197.80,406
"Giulietta Weimer",2189.02,407
"Nick Radford",2184.33,408
"Bill Tyler",2182.19,409
"Pamela Stobb",2181.48,410
"Shahid Hopkins",2180.70,411
"Kean Nguyen",2171.97,412
"Daniel Byrd",2171.61,413
"Roy Phan",2170.71,414
"Dave Poirier",2164.88,415
"Helen Abelman",2163.32,416
"Ed Jacobs",2162.18,417
"John Dryer",2152.35,418
"Clay Rozendal",2148.85,419
"Kristina Nunn",2148.03,420
"Duane Noonan",2139.79,421
"Edward Nazzal",2138.24,422
"Kalyca Meade",2134.24,423
"Neoma Murray",2123.35,424
"Karen Carlisle",2103.83,425
"Stefanie Holloman",2096.39,426
"Rob Haberlin",2085.74,427
"Trudy Glocke",2074.67,428
"Max Ludwig",2071.91,429
"Roger Barcio",2067.45,430
"Liz Carlisle",2064.50,431
"Tom Stivers",2054.14,432
"Art Ferguson",2052.91,433
"Carlos Daly",2033.97,434
"Nicole Fjeld",2031.48,435
"Denny Joy",2012.52,436
"Victoria Brennan",2005.59,437
"Harold Pawlan",1990.31,438
"Doug Bickford",1989.05,439
"Paul Gonzalez",1987.15,440
"Nona Balk",1972.61,441
"Scott Williamson",1966.65,442
"Lisa DeCherney",1961.93,443
"Tracy Poddar",1936.62,444
"Jay Fein",1911.84,445
"Jas O'Carroll",1911.55,446
"Max Engle",1908.45,447
"Susan Vittorini",1903.49,448
"Katherine Ducich",1888.96,449
"Giulietta Dortch",1888.08,450
"Sheri Gordon",1884.80,451
"Shaun Chance",1875.00,452
"Brooke Gillingham",1874.18,453
"Nat Gilpin",1869.57,454
"Cynthia Delaney",1860.74,455
"Skye Norling",1860.42,456
"Christy Brittain",1856.27,457
"Julia Barnett",1841.65,458
"Patrick Ryan",1840.18,459
"Ashley Jarboe",1839.24,460
"Pamela Coakley",1832.07,461
"Emily Grady",1832.02,462
"Lisa Ryan",1831.38,463
"Pauline Johnson",1824.23,464
"Noah Childs",1821.75,465
"Janet Molinari",1804.14,466
"Jennifer Braxton",1791.62,467
"Andrew Allen",1782.87,468
"Chad Cunningham",1765.23,469
"Darrin Sayre",1762.21,470
"Aaron Hawkins",1744.70,471
"Valerie Takahito",1736.60,472
"Adrian Hane",1735.53,473
"Mike Vittorini",1734.58,474
"Jessica Myrick",1733.45,475
"Brad Eason",1727.65,476
"Ben Wallace",1726.23,477
"Julie Prescott",1707.71,478
"Tracy Zic",1707.28,479
"Denny Blanton",1702.55,480
"Becky Pak",1692.15,481
"Darren Koutras",1687.03,482
"Ryan Akin",1686.93,483
"Cathy Armstrong",1679.72,484
"Candace McMahon",1673.89,485
"Logan Haushalter",1660.31,486
"Cindy Chapman",1659.45,487
"Jennifer Patt",1653.58,488
"Chad McGuire",1643.97,489
"Erica Bern",1643.26,490
"Anne Pryor",1638.55,491
"Katrina Edelman",1626.68,492
"Annie Zypern",1622.03,493
"Maurice Satty",1613.39,494
"Craig Reiter",1600.55,495
"Stephanie Phelps",1598.51,496
"Deanra Eno",1588.46,497
"Alan Haines",1587.45,498
"Benjamin Farhat",1585.17,499
"Cyma Kinney",1582.11,500
"Mike Caudle",1581.99,501
"Monica Federle",1575.36,502
"James Lanier",1571.52,503
"Tim Brockman",1569.59,504
"Karl Braun",1569.45,505
"Theresa Swint",1568.25,506
"Odella Nelson",1567.52,507
"Mark Van Huff",1542.39,508
"Brian DeCherney",1538.12,509
"Cathy Hwang",1537.24,510
"Bruce Degenhardt",1526.50,511
"Benjamin Venier",1523.28,512
"Kelly Andreada",1519.51,513
"Ann Blume",1515.86,514
"John Grady",1507.02,515
"Zuschuss Donatelli",1493.94,516
"Dan Lawera",1490.83,517
"Charlotte Melton",1475.14,518
"Laurel Elliston",1469.45,519
"Ted Butterfield",1467.89,520
"Parhena Norris",1467.16,521
"Bradley Nguyen",1459.34,522
"Philip Brown",1456.95,523
"Raymond Messe",1453.47,524
"Andy Gerbode",1448.94,525
"Ralph Kennedy",1448.00,526
"Delfina Latchford",1446.06,527
"Paul Knutson",1441.15,528
"Tamara Dahlen",1434.56,529
"Julia West",1428.73,530
"Mick Brown",1428.24,531
"Maria Bertelson",1427.33,532
"Thomas Thornton",1427.05,533
"Roger Demir",1419.74,534
"Nancy Lomonaco",1418.08,535
"Paul MacIntyre",1405.40,536
"Christine Abelman",1401.08,537
"Meg O'Connel",1396.33,538
"Nathan Gelder",1395.94,539
"Jeremy Ellison",1388.69,540
"Troy Blackwell",1387.57,541
"Frank Gastineau",1383.13,542
"Cyra Reiten",1380.84,543
"Don Miller",1376.80,544
"Gene Hale",1361.24,545
"George Bell",1356.48,546
"Liz MacKendrick",1346.78,547
"Maureen Gnade",1342.29,548
"Sarah Jordon",1339.08,549
"Bryan Mills",1335.87,550
"Barry Franz",1333.89,551
"Sarah Bern",1323.43,552
"Dario Medina",1322.03,553
"Michelle Tran",1319.44,554
"Magdelene Morse",1314.02,555
"Sibella Parks",1306.09,556
"Eileen Kiefer",1303.48,557
Corey-Lock,1300.08,558
"Hallie Redmond",1299.29,559
"Saphhira Shifley",1289.55,560
"Georgia Rosenberg",1284.38,561
"Paul Stevenson",1278.65,562
"Stuart Van",1271.09,563
"Cari Sayre",1267.20,564
"Liz Willingham",1259.04,565
"Michelle Ellison",1256.95,566
"Gene McClure",1255.68,567
"Steve Carroll",1254.64,568
"Matt Hagelstein",1252.80,569
"Elpida Rittenbach",1245.79,570
"Joni Wasserman",1244.09,571
"Michael Grace",1242.84,572
"Nora Pelletier",1228.70,573
"Patrick Jones",1220.10,574
"Erica Hernandez",1219.52,575
"Jack Lebron",1214.95,576
"Michael Dominguez",1204.91,577
"Dorothy Wardle",1204.85,578
"Denny Ordway",1197.31,579
"Shirley Jackson",1190.37,580
"Evan Bailliet",1186.33,581
"Jill Stevenson",1181.73,582
"Benjamin Patterson",1181.49,583
"Debra Catini",1174.62,584
"Alyssa Tate",1171.81,585
"Jim Radford",1156.66,586
"Duane Benoit",1155.21,587
"Claire Gute",1148.78,588
"Kimberly Carter",1146.05,589
"Ross DeVincentis",1137.61,590
"Carl Weiss",1136.59,591
"Jim Sink",1131.07,592
"Darrin Van Huff",1119.48,593
"Alan Barnes",1113.85,594
"Christina DeMoss",1104.18,595
"Tony Chapman",1103.02,596
"Carl Ludwig",1098.43,597
"Tony Molinari",1094.68,598
"Jesus Ocampo",1088.37,599
"Jeremy Farry",1082.92,600
"Dennis Bolton",1081.47,601
"David Wiener",1080.76,602
"Cindy Schnelling",1070.39,603
"Pauline Chand",1061.49,604
"David Philippe",1058.62,605
"Phillina Ober",1056.85,606
"Allen Armold",1056.39,607
"Vivek Sundaresam",1055.99,608
"Alex Russell",1055.69,609
"Duane Huffman",1043.09,610
"Susan MacKendrick",1043.05,611
"Eudokia Martin",1041.04,612
"Theresa Coyne",1038.26,613
"Darren Powers",1034.18,614
"Mike Kennedy",1031.60,615
"Tiffany House",1022.21,616
"Sean Wendt",1019.04,617
"Randy Bradley",1008.20,618
"Lynn Smith",1008.14,619
"Bruce Geld",1006.35,620
"Luke Schmidt",998.03,621
"Victor Preis",993.90,622
"Guy Armstrong",975.57,623
"Ken Brennan",974.22,624
"Doug O'Connell",972.26,625
"Toby Swindell",971.73,626
"Russell D'Ascenzo",970.95,627
"Aimee Bixby",966.71,628
"Roy Collins",966.41,629
"Barry Pond",961.18,630
"Jonathan Howell",959.48,631
"Jason Fortune-",955.12,632
"Rachel Payne",954.64,633
"Bryan Spruell",949.43,634
"Eric Barreto",944.60,635
"Maureen Fritzler",937.05,636
"Eric Murdock",933.70,637
"Matt Collins",925.56,638
"Scot Wooten",925.18,639
"Mary O'Rourke",922.49,640
"Roy Französisch",915.66,641
"Evan Henry",910.18,642
"Katrina Bavinger",908.82,643
"Sonia Cooley",902.73,644
"Joni Blumstein",900.55,645
"Alejandro Ballentine",898.08,646
"Alyssa Crouse",891.56,647
"Henia Zydlo",886.52,648
"Aaron Bergman",886.15,649
"Chad Sievert",884.64,650
"Harold Engle",883.53,651
"Sally Knutson",883.41,652
"Sung Shariari",883.21,653
"Jim Mitchum",864.95,654
"Jocasta Rupert",863.88,655
"Art Foster",861.57,656
"Jenna Caffey",859.65,657
"Julie Creighton",858.57,658
"Michael Stewart",855.12,659
"Ryan Crowe",850.19,660
"Catherine Glotzbach",847.66,661
"Charles Sheldon",844.46,662
"Ann Steele",833.41,663
"Todd Boyes",822.14,664
"Vicky Freymann",819.79,665
"Thomas Brumley",816.17,666
"Richard Eichhorn",815.16,667
"Alice McCarthy",814.01,668
"Brendan Murry",808.16,669
"David Kendrick",797.83,670
"Matthew Clasen",795.15,671
"Beth Fritzler",791.99,672
"Harry Greene",785.62,673
"Erica Hackney",780.27,674
"Michael Granlund",776.39,675
"Muhammed MacIntyre",775.41,676
"Sandra Flanagan",763.54,677
"Steven Ward",758.69,678
"Liz Pelletier",756.60,679
"Dorris liebe",755.60,680
"Ivan Gibson",744.57,681
"Ritsa Hightower",740.39,682
"Angele Hood",738.50,683
"Henry MacAllister",736.28,684
"Barry Blumstein",735.51,685
"Patricia Hirasaki",729.65,686
"Pete Armstrong",729.41,687
"Jennifer Jackson",709.17,688
"Julia Dunbar",695.44,689
"Vivek Gonzalez",694.30,690
"Tracy Collins",692.51,691
"Peter Bühler",688.33,692
"Eric Hoffmann",684.18,693
"Michelle Lonsdale",681.24,694
"Patrick Bzostek",668.76,695
"Alex Grayson",660.97,696
"Berenike Kampe",659.15,697
"Bryan Davis",658.46,698
"Anna Chung",657.31,699
"Anthony Witt",649.37,700
"Toby Ritter",645.07,701
"Lori Olson",644.35,702
"Joy Bell-",644.12,703
"Mathew Reese",639.18,704
"Astrea Jones",629.25,705
"Ralph Ritter",615.93,706
"Carol Darley",614.98,707
"Shirley Schmidt",613.40,708
"Bobby Trafton",603.87,709
"Barbara Fisher",585.80,710
"Denise Leinenbach",585.02,711
"Brian Derr",582.65,712
"Alan Shonely",574.25,713
"Neil Knudson",572.05,714
"Carlos Meador",565.39,715
"Chuck Sachs",550.64,716
"Cari Schnelling",537.63,717
"John Huston",528.92,718
"Andy Yotov",497.02,719
"Rob Beeghly",476.79,720
"Corey Roper",475.90,721
"MaryBeth Skach",475.66,722
"Joni Sundaresam",469.16,723
"Erin Creighton",461.91,724
"Khloe Miller",453.54,725
"Tim Taslimi",439.50,726
"Shui Tom",433.34,727
"Vivek Grady",427.37,728
"Maria Zettner",424.04,729
"Sonia Sunley",418.49,730
"Brad Thomas",415.20,731
"Joy Daniels",385.43,732
"Jason Klamczynski",383.81,733
"Vivian Mathis",380.69,734
"Neil Französisch",377.17,735
"Melanie Seite",370.34,736
"Lycoris Saunders",368.88,737
"Evan Minnotte",366.83,738
"Mark Haberlin",358.15,739
"Heather Jas",358.10,740
"Aleksandra Gannaway",349.26,741
"Don Weiss",344.08,742
"Brendan Dodson",320.54,743
"Lisa Hazard",318.23,744
"Jill Matthias",303.94,745
"Chuck Magee",288.00,746
"Larry Hughes",287.43,747
"Sung Chung",280.63,748
"Stuart Calhoun",279.25,749
"Jennifer Halladay",276.39,750
"Nicole Brennan",273.87,751
"Bart Folk",272.95,752
"Dorothy Dickinson",269.53,753
"Brad Norvell",265.31,754
"Andrew Roberts",264.87,755
"Larry Tron",255.52,756
"Harold Dahlen",251.36,757
"Paul Lucas",239.49,758
"Kelly Williams",236.16,759
"Sally Matthias",233.13,760
"Erin Mull",228.99,761
"Guy Thornton",226.43,762
"Guy Phonely",221.80,763
"Robert Barroso",221.09,764
"Allen Goldenen",200.95,765
"Joel Jenkins",195.00,766
"Hilary Holden",188.11,767
"Muhammed Lee",162.23,768
"Anthony O'Donnell",161.28,769
"Michael Oakman",154.29,770
"Pete Takahito",153.91,771
"Greg Hansen",146.94,772
"Anthony Garverick",137.30,773
"Phillip Breyer",132.74,774
"Bobby Odegard",130.83,775
"Ed Ludwig",124.28,776
"Dianna Arnett",123.86,777
"Clay Cheatham",113.84,778
"Roland Murray",98.35,779
"Karen Seio",88.47,780
"Anemone Ratner",88.15,781
"Fred Wasserman",79.75,782
"Jasper Cacioppo",67.34,783
"Barry Weirich",60.77,784
"Adrian Shami",58.82,785
"Larry Blacks",50.19,786
"Ricardo Emerson",48.36,787
"Susan Gilcrest",41.08,788
"Roy Skaria",22.33,789
"Carl Jackson",16.52,790
"Mitch Gastineau",12.32,791
"Lela Donovan",5.30,792
"Thais Sissman",4.84,793
